Sample No.;Reference;V (PbBr2 prec.);c (PbBr2);c (OlAm);c (OA);V (Cs-OA);c (Cs-OA);Cs/Pb;antisolvent;V (antisolvent);Cp;RP (antisolvent);perovskite ?;n (ML);NC shape;monodispersity;PLQY;suggestion;include PLQY;S/P;Age of prec
127;231028;1500;0.01;0.02128;0.02835;75;0.04;0.2;Ac;2000;;0.355;1;3;NR;1;0;;;P;-
128;231102;1500;0.01;0.02128;0.02835;75;0.04;0.2;Ac;1000;;0.355;1;3;NPL;1;0;;;P;-
129;231102;1500;0.01;0.02128;0.02835;75;0.04;0.2;Tol;0;;0.099;1;2;NPL;1;0;;;P;-
130;231101;1500;0.01;0.02128;0.02835;75;0.1;0.5;Ac;1000;;0.355;1;3;NR;1;0;;;P;-
131;231107;1500;0.01;0.02128;0.02835;75;0.1;0.5;Tol;0;;0.099;1;-;?;0;0;;;P;-
132;231101;1500;0.01;0.02128;0.02835;75;0.2;1;Ac;1000;;0.355;1;3;NR;1;0;;;P;-
134;231101;1500;0.01;0.02128;0.02835;75;0.02;0.1;Ac;500;;0.355;1;2;NPL;1;0;;;P;-
135;230609;1000;0.01;0.02128;0.02835;150;0.02;0.3;Ac;1850;;0.355;1;4;NR;1;0;;;P;-
136;230609;960;0.01;0.02128;0.02835;190;0.02;0.4;Ac;1850;;0.355;1;4;NR;1;0;;;P;-
137;230609;940;0.01;0.02128;0.02835;210;0.02;0.45;Ac;1850;;0.355;1;4;NR;1;0;;;P;-
138;230609;920;0.01;0.02128;0.02835;230;0.02;0.5;Ac;1850;;0.355;1;4;NR;1;0;;;P;-
139;230609;900;0.01;0.02128;0.02835;250;0.02;0.56;Ac;1850;;0.355;1;4;NR;1;0;;;P;-
140;230609;880;0.01;0.02128;0.02835;270;0.02;0.61;Ac;1850;;0.355;1;4;NR;1;0;;;P;-
142;240410;3505;0.074;0.02128;0.02835;847;0.014;0.046;butanone;1030;;0.327;1;2;NPL;1;0.0257;;1;P;-
143;240410;2300;0.026;0.02128;0.02835;557;0.018;0.168;EtAc;1550;;0.228;1;2;NPL;1;0.0357;;1;P;-
144;240410;3155;0.068;0.02128;0.02835;109;0.017;0.009;t-BuOH;840;;0.389;;;;0;0;;;P;-
145;240410;3370;0.032;0.02128;0.02835;497;0.003;0.014;CyPen;2125;;0.269;;;;0;0;;;P;-
146;240410;3930;0.071;0.02128;0.02835;743;0.018;0.048;DMF;1645;;0.386;0;-;-;0;0;;;P;-
147;240410;1245;0.063;0.02128;0.02835;481;0.004;0.025;CyPen;1030;;0.269;1;-;NPL;0;0.194;;;P;-
