;Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P;n_Cs;n_Pb;n_As;Cs_Pb_ratio;AS_Pb_ratio;AS_Cs_ratio;V_total;PL_data;molecule_name;encoding;fwhm;peak_pos
116;118;1500;0.01;150.0;0.02;EtOH;250;1.0;1.0;0.0;P;3.0;15.0;4282.5;0.2;0.02855;0.008333333333333333;1900.0;118.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.10436363636363621;456.99999999999994
117;119;1500;0.01;150.0;0.02;EtOH;500;1.0;1.0;0.0;P;3.0;15.0;8565.0;0.2;0.0571;0.016666666666666666;2150.0;119.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.09527056705670578;458.00000000000006
118;120;1500;0.01;150.0;0.02;EtOH;750;1.0;1.0;0.0;P;3.0;15.0;12847.5;0.2;0.08564999999999999;0.025;2400.0;120.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.08493753375337532;460.0
119;121;1500;0.01;150.0;0.02;EtOH;1000;1.0;1.0;0.0;P;3.0;15.0;17130.0;0.2;0.1142;0.03333333333333333;2650.0;121.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.09041404140414055;460.0
120;122;1500;0.01;150.0;0.02;EtOH;1250;1.0;1.0;0.0;P;3.0;15.0;21412.5;0.2;0.14275;0.041666666666666664;2900.0;122.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.09475391539153888;460.0
121;123;1500;0.01;150.0;0.02;EtOH;1500;1.0;1.0;0.0;P;3.0;15.0;25695.0;0.2;0.17129999999999998;0.05;3150.0;123.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1024003600360035;462.0
122;124;1500;0.01;150.0;0.02;EtOH;1750;1.0;1.0;0.0;P;3.0;15.0;29977.5;0.2;0.19985;0.058333333333333334;3400.0;124.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.13174617461746196;467.0
123;125;1500;0.01;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P;3.0;15.0;34260.0;0.2;0.2284;0.06666666666666667;3650.0;125.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.13401944194419446;473.0
127;129;1500;0.01;75.0;0.04;Tol;0;1.0;1.0;0.0;P;3.0;15.0;0.0;0.2;0.0;0.0;1575.0;129.txt;Toluene;[1.0, 0.0, 0.0, 0.0, 0.0];0.07925436543654385;429.0
129;131;1500;0.01;75.0;0.1;Tol;0;1.0;0.0;0.0;P;7.5;15.0;0.0;0.5;0.0;0.0;1575.0;131.txt;Toluene;[1.0, 0.0, 0.0, 0.0, 0.0];0.11480000000000024;461.0
143;147;1245;0.063;481.0;0.004;CyPen;1030;1.0;0.0;0.194;P;1.924;78.435;11628.699999999999;0.024529865493720913;0.014825906801810415;0.05353430353430354;2756.0;147.txt;Cyclopentanone;[0.0, 1.0, 0.5, 1.0, 2.0];0.1474523852385241;458.99999999999994
150;154;1330;0.01;26.0;0.0107;i-PrOH;3800;1.0;1.0;0.104;P;0.2782;13.3;49704.0;0.020917293233082706;0.3737142857142857;1.3659237958303379;5156.0;154.txt;Isopropanol;[1.0, 0.0, 0.30000000000000004, 0.0, 1.0];0.1074635463546354;462.99999999999994
155;160;1045;0.01;499.0;0.0177;MeOH;724;1.0;1.0;0.0254;P;8.8323;10.450000000000001;17853.84;0.8451961722488037;0.17085014354066982;0.008197185331114206;2268.0;160.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0778077407740776;516.0
173;178;4035;0.01;147.0;0.23;MeOH;845;1.0;1.0;0.0676;P;33.81;40.35;20837.7;0.837918215613383;0.05164237918215613;0.0024992605737947354;5027.0;178.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.07450117011701174;514.0
174;179;675;0.01;197.0;0.0132;n-BuOH;1120;1.0;1.0;0.2232;P;2.6004;6.75;12208.0;0.38524444444444444;0.18085925925925928;0.04307029687740348;1992.0;179.txt;Butanol;[1.0, 0.0, 0.4, 0.0, 0.0];0.09093069306930701;456.0
175;180;695;0.01;249.0;0.0173;i-PrOH;1155;1.0;0.0;0.6324;P;4.3077;6.95;15107.4;0.6198129496402877;0.2173726618705036;0.02681245212062121;2099.0;180.txt;Isopropanol;[1.0, 0.0, 0.30000000000000004, 0.0, 1.0];0.2740320432043202;495.0
176;181;1395;0.01;425.0;0.0134;n-BuOH;2900;1.0;0.0;0.2597;P;5.695;13.950000000000001;31610.0;0.4082437275985663;0.22659498207885304;0.050921861281826165;4720.0;181.txt;Butanol;[1.0, 0.0, 0.4, 0.0, 0.0];0.09341062106210618;456.99999999999994
177;182;695;0.01;221.0;0.0127;n-BuOH;3845;1.0;1.0;0.3467;P;2.8066999999999998;6.95;41910.5;0.403841726618705;0.6030287769784173;0.1369936224035344;4761.0;182.txt;Butanol;[1.0, 0.0, 0.4, 0.0, 0.0];0.11356003600360065;510.0
178;183;1705;0.01;369.0;0.0185;n-BuOH;3950;1.0;0.0;0.2465;P;6.826499999999999;17.05;43055.0;0.4003812316715542;0.25252199413489734;0.05786274078957006;6024.0;183.txt;Butanol;[1.0, 0.0, 0.4, 0.0, 0.0];0.09950711071107099;458.00000000000006
180;185;1080;0.01;255.0;0.0174;n-BuOH;2385;1.0;0.0;0.2291;P;4.436999999999999;10.8;25996.5;0.4108333333333333;0.24070833333333333;0.05375253549695741;3720.0;185.txt;Butanol;[1.0, 0.0, 0.4, 0.0, 0.0];0.09640720072007225;456.99999999999994
182;187;965;0.01;326.0;0.0122;n-BuOH;2575;1.0;0.0;0.5882;P;3.9772000000000003;9.65;28067.5;0.41214507772020725;0.29085492227979276;0.0647440410338932;3866.0;187.txt;Butanol;[1.0, 0.0, 0.4, 0.0, 0.0];0.15788874887488769;507.99999999999994
183;188;975;0.01;278.0;0.0141;n-BuOH;3600;1.0;0.0;0.4904;P;3.9198;9.75;39240.0;0.40203076923076925;0.40246153846153854;0.09184142048063677;4853.0;188.txt;Butanol;[1.0, 0.0, 0.4, 0.0, 0.0];0.1208964896489646;509.0
186;191;2270;0.011;500.0;0.02;EtOH;626;1.0;1.0;0.1049;P;10.0;24.97;10723.38;0.40048057669203047;0.042945054064877856;0.00626;3396.0;191.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.07884104410441051;460.0
187;192;1990;0.007;445.0;0.02;n-BuOH;497;1.0;1.0;0.2254;S;8.9;13.93;5417.3;0.6389088298636038;0.03888944723618091;0.005584269662921348;2932.0;192.txt;Butanol;[1.0, 0.0, 0.4, 0.0, 0.0];0.16357191719171915;461.0
188;193;4505;0.003;327.0;0.02;EtOH;561;1.0;1.0;0.5376;S;6.54;13.515;9609.93;0.4839067702552719;0.07110566037735849;0.008577981651376148;5393.0;193.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.11614329432943293;456.99999999999994
189;194;2915;0.004;364.0;0.02;n-BuOH;3310;1.0;1.0;0.8772;S;7.28;11.66;36079.0;0.6243567753001715;0.3094253859348199;0.045467032967032965;6589.0;194.txt;Butanol;[1.0, 0.0, 0.4, 0.0, 0.0];0.09206732673267304;501.0
190;195;3900;0.006;473.0;0.02;EtOH;1240;1.0;1.0;0.1126;S;9.46;23.400000000000002;21241.199999999997;0.4042735042735043;0.09077435897435897;0.01310782241014799;5613.0;195.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.11748658865886563;462.0
191;196;4555;0.005;428.0;0.02;EtOH;1500;1.0;1.0;0.2832;S;8.56;22.775000000000002;25695.0;0.3758507135016465;0.112821075740944;0.017523364485981307;6483.0;196.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.11170009000900105;460.0
