Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P
285;1000;0.01;100.0;0.02;i-PrOH;1750;1.0;1.0;0.1211;P
286;1000;0.01;100.0;0.02;i-PrOH;2000;1.0;0.0;0.154;P
287;1000;0.01;100.0;0.02;i-PrOH;2500;1.0;0.0;0.1601;P
288;1000;0.01;100.0;0.02;i-PrOH;1750;1.0;1.0;0.0;S
289;1000;0.01;100.0;0.02;i-PrOH;2000;1.0;1.0;0.0;S
290;1000;0.01;100.0;0.02;i-PrOH;2500;1.0;1.0;0.0;S
291;1000;0.01;100.0;0.02;i-PrOH;3000;1.0;1.0;0.1661;P
292;1000;0.01;100.0;0.02;i-PrOH;3500;1.0;1.0;0.1832;P
293;1000;0.01;100.0;0.02;i-PrOH;4000;1.0;1.0;0.1918;P
294;1000;0.01;100.0;0.02;i-PrOH;4500;1.0;1.0;0.2541;P
295;1000;0.01;100.0;0.02;i-PrOH;5000;1.0;1.0;0.2703;P
296;1000;0.01;50.0;0.02;i-PrOH;250;1.0;1.0;0.1177;P
297;1000;0.01;50.0;0.02;i-PrOH;500;1.0;1.0;0.127;P
298;1000;0.01;50.0;0.02;i-PrOH;750;1.0;1.0;0.1301;P
299;1000;0.01;75.0;0.02;i-PrOH;1000;1.0;1.0;0.1445;P
300;1500;0.01;150.0;0.02;i-PrOH;250;1.0;1.0;0.1349;P
301;1500;0.01;150.0;0.02;i-PrOH;500;1.0;1.0;0.1455;P
